Stadtgebiet;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländerinnen und Ausländer;Ausländeranteil in %;Bevölkerung mit Migrations-hintergrund;Anteil der Bevölkerung mit Migrations-hintergrund in %;Unter 18-Jährige mit Migrations-hintergrund;Anteil der unter 18-Jährigen mit Migrations-hintergrund in %;Haushalte;Personen je Haushalt;Einpersonen-haushalte;Anteil der Einpersonen-haushalte in %;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Alleinerziehende;Anteil der Haushalte von Alleinerziehenden in %;Fläche in km²;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Zuzüge aus dem Hamburger Umland;Fortzüge;Fortzüge in das Hamburger Umland;Wanderungssaldo;Sozial-versicherungs-pflichtig Beschäftigte (Dez 2013);Beschäftigten-quote in % (Dez 2013);Arbeitslose (Dez 2013);Arbeitslosenanteil in % (Dez 2013);Jüngere Arbeitslose (Dez 2013);Arbeitslosenanteil Jüngerer in % (Dez 2013);Ältere Arbeitslose (Dez 2013);Arbeitslosenanteil Älterer in % (Dez 2013);Leistungs-empfänger/-innen nach SGB II (Dez 2013);Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2013);Unter 15-Jährige in Mindestsicherung (Dez 2013);Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2013);Bedarfs-gemeinschaften nach SGB II (Dez 2013);Lohn- und Einkommen-steuerpflichtige (2010);Durchschnitt-liches Einkommen je Steuerpflichtigen in EUR (2010);Wohngebäude (2013);Wohnungen (2013);Bezugsfertige Wohnungen (2013);Wohnungen in Ein- und Zweifamilien-häusern (2013);Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2013);Wohnungsgröße in m² (2013);Wohnfläche je Einwohner/-in in m² (2013);Sozialwohnungen (Jan 2014);Sozialwohnungs-anteil in % (Jan 2014);Sozialwohnungen mit Bindungsauslauf bis 2019;Sozialwohnungen mit Bindungsauslauf bis 2019 in %;Preise für Grundstücke in EUR/m² (Jan 2014);Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2014);Preise für Eigentums-wohnungen in EUR/m² (Jan 2014);Kindergärten und Vorschulklassen (März 2014);Grundschulen (2013/2014);Schülerinnen und Schüler der Sekundarstufe I (2013/2014);Anteil der Schülerinnen und Schüler in Stadtteilschulen und Schulformen mit mehreren Bildungsgängen in % (2013/2014);Anteil der Schülerinnen und Schüler in Gymnasien in % (2013/2014);Niedergelassene Ärzte (Dez 2013);Allgemeinärzte (Dez 2013);Zahnärzte (Nov 2013);Apotheken (Nov 2013);Private PKW (Jan 2014);PKW-Dichte (Jan 2014)
Harburg; 22 674    ; 3 285    ; 14,5    ; 2 767    ; 12,2    ; 7 549    ; 33,3    ; 11 973    ; 52,8    ; 2 496    ; 76,5    ; 13 515    ; 1,6    ; 8 565    ; 63,4    ; 2 002    ; 14,8    ;  652    ; 32,6    ; 3,9    ; 5 882    ;  278    ;  210    ; 4 072    ;  425    ; 3 937    ;  431    ;  135    ; 7 978;46,7; 1 565;9,2;  119;3,4;  169;9,0; 4 121;18,2; 1 242;43,7; 2 244; 9 339; 19 246; 1 483; 11 774;  236;  229;1,9;59,9;31,1; 1 121;9,5;  351;31,3;  258;.; 1 958;  13;  3;  937;68,8;19,3;  168;  37;  60;16; 4 527;  200
Neuland und Gut Moor; 1 511    ;  295    ; 19,5    ;  240    ; 15,9    ;  297    ; 19,7    ;  477    ; 31,6    ;  154    ; 52,9    ;  719    ; 2,1    ;  295    ; 41,0    ;  156    ; 21,7    ;  36    ; 23,1    ; 10,0    ;  151    ;  17    ;  13    ;  277    ;  20    ;  163    ;  18    ;  114    ;  525;51,3;  45;4,4;  8;4,2;  9;5,1;  87;5,8;  24;9,7;  41;  689; 31 010;  423;  558;  1;  459;82,3;102,3;37,8;  0;0,0;  0;0,0;  156; 1 783;.;  0;  1;  106;70,8;23,6;  0;  0;  0;0;  674;  446
Wilstorf; 16 225    ; 2 553    ; 15,7    ; 3 410    ; 21,0    ; 2 967    ; 18,3    ; 5 874    ; 36,2    ; 1 493    ; 59,0    ; 8 977    ; 1,8    ; 4 733    ; 52,7    ; 1 604    ; 17,9    ;  497    ; 31,0    ; 3,5    ; 4 660    ;  196    ;  188    ; 1 861    ;  212    ; 1 901    ;  374    ;-  40    ; 5 855;54,8;  766;7,2;  62;3,3;  89;5,3; 2 042;12,6;  680;31,8; 1 046; 7 797; 23 985; 2 026; 8 333;  1; 1 451;17,4;68,8;35,4;  837;10,0;  180;21,5;  266; 1 987; 1 931;  10;  1;  763;55,3;37,7;  18;  11;  4;3; 5 276;  325
Rönneburg; 3 203    ;  607    ; 19,0    ;  595    ; 18,6    ;  293    ; 9,1    ;  843    ; 26,3    ;  227    ; 37,6    ; 1 515    ; 2,2    ;  581    ; 38,3    ;  367    ; 24,2    ;  78    ; 21,3    ; 2,3    ; 1 415    ;  30    ;  21    ;  244    ;  35    ;  260    ;  55    ;-  16    ; 1 210;57,0;  74;3,5;  6;1,5;  20;5,3;  152;4,7;  41;8,4;  81; 1 461; 56 002;  771; 1 383;  3;  753;54,4;96,1;41,5;  153;11,1;  0;0,0;  246; 2 052;.;  1;  1;  232;47,0;50,4;  0;  0;  1;0; 1 403;  438
Langenbek; 4 098    ;  634    ; 15,5    ;  861    ; 21,0    ;  329    ; 8,0    ; 1 137    ; 27,7    ;  257    ; 40,3    ; 2 014    ; 2,1    ;  778    ; 38,6    ;  417    ; 20,7    ;  118    ; 28,3    ; 0,8    ; 4 890    ;  24    ;  39    ;  359    ;  66    ;  295    ;  79    ;  64    ; 1 532;55,5;  121;4,4;  8;1,5;  31;4,9;  242;5,9;  68;14,3;  131; 1 963; 31 482; 1 194; 1 863;  10; 1 129;60,6;86,7;39,4;  352;18,9;  62;17,6;  243; 1 925;.;  1;  0;  244;47,5;46,7;  0;  0;  0;1; 1 722;  420
Sinstorf; 3 553    ;  715    ; 20,1    ;  700    ; 19,7    ;  575    ; 16,2    ; 1 130    ; 31,9    ;  376    ; 52,9    ; 1 586    ; 2,1    ;  629    ; 39,7    ;  367    ; 23,1    ;  79    ; 21,5    ; 2,6    ; 1 387    ;  29    ;  32    ;  430    ;  60    ;  376    ;  87    ;  54    ; 1 220;53,4;  100;4,4;  13;3,2;  18;5,2;  301;8,5;  102;17,9;  133; 1 615; 31 736;  830; 1 447;  4;  869;60,1;90,9;37,0;  92;6,4;  92;100,0;  220; 2 133; 1 766;  2;  1;  259;54,8;40,9;  9;  3;  3;0; 1 383;  389
Marmstorf; 8 801    ; 1 332    ; 15,1    ; 2 632    ; 29,9    ;  722    ; 8,2    ; 1 940    ; 22,0    ;  476    ; 35,8    ; 4 572    ; 2,0    ; 1 889    ; 41,3    ;  863    ; 18,9    ;  228    ; 26,4    ; 5,8    ; 1 513    ;  53    ;  89    ;  627    ;  102    ;  579    ;  117    ;  48    ; 2 792;54,5;  232;4,5;  15;1,7;  39;3,9;  452;5,1;  134;12,8;  238; 4 377; 34 488; 2 213; 4 231;  9; 2 115;50,0;89,1;42,8;  110;2,6;  0;0,0;  306; 2 086; 1 903;  3;  1;  525;37,3;58,1;  7;  5;  4;2; 3 859;  438
Eißendorf; 23 861    ; 3 906    ; 16,4    ; 5 168    ; 21,7    ; 3 498    ; 14,7    ; 8 002    ; 33,5    ; 1 997    ; 51,1    ; 12 737    ; 1,9    ; 6 208    ; 48,7    ; 2 450    ; 19,2    ;  674    ; 27,5    ; 8,4    ; 2 850    ;  233    ;  278    ; 2 454    ;  323    ; 2 304    ;  472    ;  150    ; 8 282;53,6;  964;6,2;  94;3,4;  134;5,1; 2 382;10,0;  780;24,0; 1 227; 11 427; 30 756; 4 197; 11 810;  45; 3 581;30,3;78,0;38,6;  907;7,7;  271;29,9;  287; 2 081; 2 093;  7;  2; 1 295;53,4;41,3;  13;  9;  9;2; 8 643;  362
Heimfeld; 20 779    ; 3 580    ; 17,2    ; 3 415    ; 16,4    ; 4 082    ; 19,6    ; 8 161    ; 39,3    ; 2 037    ; 57,2    ; 11 587    ; 1,8    ; 6 430    ; 55,5    ; 2 185    ; 18,9    ;  609    ; 27,9    ; 11,7    ; 1 773    ;  250    ;  253    ; 2 905    ;  291    ; 2 807    ;  364    ;  98    ; 7 613;53,0;  932;6,5;  56;2,1;  141;7,4; 2 383;11,5;  692;23,0; 1 332; 9 504; 28 235; 2 451; 10 279;  17; 1 519;14,8;71,0;35,1; 1 493;14,5;  32;2,1;  294; 2 144; 1 907;  9;  2; 1 146;51,9;33,2;  21;  9;  12;4; 6 101;  294
Moorburg und Altenwerder;  732    ;  143    ; 19,5    ;  102    ; 13,9    ;  40    ; 5,5    ;  87    ; 11,9    ;  18    ; 12,6    ;  377    ; 2,0    ;  177    ; 46,9    ;  87    ; 23,1    ;  21    ; 24,1    ; 16,8    ;  44    ;  15    ;  3    ;  94    ;  10    ;  88    ;  18    ;  6    ;  256;49,8;  24;4,7;  3;3,4;  8;8,3;  49;6,7;  13;11,2;  27;  354; 36 862;  225;  325;  1;  242;74,5;99,6;44,2;  0;0,0;  0;0,0;  145;.;.;  3;  0;  52;75,0;21,2;  0;  0;  0;0;  345;  471
Hausbruch; 17 034    ; 3 336    ; 19,6    ; 3 282    ; 19,3    ; 2 257    ; 13,2    ; 8 682    ; 50,9    ; 2 251    ; 67,5    ; 7 489    ; 2,3    ; 2 613    ; 34,9    ; 1 972    ; 26,3    ;  493    ; 25,0    ; 11,2    ; 1 524    ;  146    ;  142    ; 1 313    ;  162    ; 1 369    ;  264    ;-  56    ; 5 797;52,3;  859;7,8;  59;2,6;  133;6,3; 2 673;15,7;  875;32,8; 1 205; 7 260; 28 667; 2 874; 7 088;  20; 2 614;36,9;83,9;34,9; 1 446;20,4;  360;24,9;  220; 2 039; 1 697;  9;  2; 1 275;67,1;27,4;  15;  4;  10;2; 5 896;  346
Neugraben-Fischbek; 27 160    ; 4 914    ; 18,1    ; 6 012    ; 22,1    ; 2 905    ; 10,7    ; 10 614    ; 39,0    ; 2 785    ; 56,7    ; 13 045    ; 2,1    ; 4 980    ; 38,2    ; 2 894    ; 22,2    ;  747    ; 25,8    ; 22,5    ; 1 207    ;  234    ;  234    ; 2 103    ;  339    ; 1 952    ;  553    ;  151    ; 9 065;52,9; 1 257;7,3;  107;3,4;  218;6,4; 3 698;13,6; 1 150;28,6; 1 770; 11 991; 28 670; 5 386; 12 034;  82; 4 937;41,0;84,6;37,5;  996;8,3;  281;28,2;  244; 2 116; 1 539;  14;  6; 1 755;64,2;30,5;  35;  15;  20;5; 10 013;  369
Francop;  677    ;  120    ; 17,7    ;  121    ; 17,9    ;  40    ; 5,9    ;  71    ; 10,5    ;  8    ; 6,7    ;  329    ; 2,1    ;  131    ; 39,8    ;  70    ; 21,3    ;  17    ; 24,3    ; 9,1    ;  74    ;  3    ;  11    ;  65    ;  14    ;  53    ;  16    ;  12    ;  264;56,1;  15;3,2;  0;0,0;  3;3,8;  30;4,4;  11;12,9;  17;  331; 34 280;  191;  322;  2;  230;71,4;98,5;46,8;  0;0,0;  0;0,0;  148; 1 889;.;  0;  0;  40;42,5;55,0;  1;  0;  0;0;  335;  495
Neuenfelde; 4 481    ;  954    ; 21,3    ;  702    ; 15,7    ;  992    ; 22,1    ; 1 751    ; 39,1    ;  521    ; 55,1    ; 2 002    ; 2,3    ;  749    ; 37,4    ;  506    ; 25,3    ;  105    ; 20,8    ; 15,5    ;  289    ;  53    ;  31    ;  468    ;  86    ;  447    ;  114    ;  21    ; 1 495;50,0;  215;7,2;  18;3,0;  29;5,7;  466;10,4;  159;20,2;  201; 1 884; 33 272; 1 022; 1 917;  15; 1 166;60,8;95,3;40,8;  291;15,2;  0;0,0;  145; 1 445;.;  3;  1;  325;63,1;34,5;  1;  1;  3;1; 1 828;  408
Cranz;  759    ;  120    ; 15,8    ;  147    ; 19,4    ;  101    ; 13,3    ;  202    ; 26,6    ;  52    ; 43,0    ;  417    ; 1,9    ;  210    ; 50,4    ;  71    ; 17,0    ;  18    ; 25,4    ; 1,3    ;  570    ;  13    ;  5    ;  79    ;  18    ;  89    ;  37    ;-  10    ;  287;56,4;  32;6,3;  0;0,0;  4;3,8;  68;9,0;  19;18,4;  38;  368; 31 326;  165;  388;  0;  145;37,4;87,4;44,7;  0;0,0;  0;0,0;  150;.;.;  1;  1;  39;53,8;38,5;  2;  2;  0;0;  343;  452
Hamburg-Mitte; 289 876    ; 45 260    ; 15,6    ; 42 241    ; 14,6    ; 74 998    ; 25,9    ; 130 254    ; 46,0    ; 31 067    ; 68,8    ; 162 283    ; 1,8    ; 94 125    ; 58,0    ; 27 029    ; 16,7    ; 8 260    ; 30,6    ; 142,3    ; 2 037    ; 3 167    ; 2 416    ; 31 902    ; 2 631    ; 31 266    ; 3 590    ;  636    ; 102 778;49,0; 17 073;8,1; 1 335;3,7; 2 177;7,4; 49 650;17,1; 14 558;38,3; 26 229; 130 535; 23 802; 23 514; 141 303;  759; 12 880;9,1;65,8;32,1; 24 825;17,6; 6 472;26,1;.;.;.;  137;  39; 14 391;64,7;28,6;  694;  246;  271;75; 74 213;  256
Altona; 259 897    ; 44 559    ; 17,1    ; 47 917    ; 18,4    ; 37 204    ; 14,3    ; 76 084    ; 29,3    ; 18 559    ; 41,7    ; 143 607    ; 1,8    ; 77 065    ; 53,7    ; 27 435    ; 19,1    ; 7 291    ; 26,6    ; 77,9    ; 3 335    ; 2 739    ; 2 521    ; 22 073    ; 2 371    ; 19 627    ; 3 177    ; 2 446    ; 88 426;50,7; 10 116;5,8;  720;2,9; 1 485;5,5; 23 795;9,2; 6 263;16,6; 13 781; 127 443; 45 726; 37 006; 130 706; 1 036; 28 605;21,9;80,7;40,6; 12 455;9,5; 4 345;34,9;.;.;.;  196;  39; 13 773;45,4;51,3;  802;  204;  244;68; 86 486;  333
Eimsbüttel; 252 340    ; 36 602    ; 14,5    ; 48 760    ; 19,3    ; 29 011    ; 11,5    ; 61 650    ; 24,4    ; 13 634    ; 37,4    ; 148 245    ; 1,7    ; 84 736    ; 57,2    ; 23 701    ; 16,0    ; 6 125    ; 25,8    ; 49,8    ; 5 065    ; 2 692    ; 2 274    ; 23 938    ; 2 532    ; 21 377    ; 3 421    ; 2 561    ; 95 705;55,4; 7 809;4,5;  464;1,9; 1 223;4,5; 15 704;6,2; 3 828;12,5; 9 600; 133 310; 40 046; 31 230; 137 695;  909; 21 557;15,7;75,9;41,4; 6 381;4,6; 2 681;42,0;.;.;.;  184;  34; 11 050;42,9;53,5;  817;  156;  280;60; 88 403;  350
Hamburg-Nord; 291 293    ; 36 878    ; 12,7    ; 49 506    ; 17,0    ; 33 586    ; 11,5    ; 68 711    ; 23,6    ; 13 821    ; 37,7    ; 185 126    ; 1,6    ; 117 796    ; 63,6    ; 24 165    ; 13,1    ; 6 953    ; 28,8    ; 57,8    ; 5 042    ; 3 178    ; 2 764    ; 31 347    ; 3 233    ; 28 769    ; 4 158    ; 2 578    ; 122 005;58,0; 10 176;4,8;  607;2,1; 1 596;5,4; 20 194;6,9; 4 640;14,8; 13 089; 158 301; 38 676; 30 408; 171 575; 1 162; 16 149;9,4;67,9;40,0; 8 241;4,8; 4 056;49,2;.;.;.;  170;  30; 10 629;46,4;50,0;  984;  253;  297;83; 94 804;  325
Wandsbek; 417 225    ; 68 565    ; 16,4    ; 93 564    ; 22,4    ; 41 896    ; 10,0    ; 109 568    ; 26,3    ; 27 885    ; 40,8    ; 220 243    ; 1,9    ; 105 433    ; 47,9    ; 42 645    ; 19,4    ; 10 983    ; 25,8    ; 147,5    ; 2 828    ; 3 687    ; 4 621    ; 28 445    ; 3 296    ; 26 267    ; 5 524    ; 2 178    ; 145 288;54,4; 13 911;5,2; 1 023;2,3; 2 317;4,7; 37 378;9,0; 10 991;19,5; 19 877; 204 376; 36 917; 75 815; 206 222; 1 240; 64 951;31,5;83,2;41,1; 17 764;8,6; 4 620;26,0;.;.;.;  215;  60; 23 508;47,7;48,5;  781;  274;  368;86; 166 081;  398
Bergedorf; 122 815    ; 22 006    ; 17,9    ; 23 043    ; 18,8    ; 13 123    ; 10,7    ; 41 068    ; 33,5    ; 10 400    ; 47,4    ; 59 682    ; 2,0    ; 25 273    ; 42,3    ; 13 323    ; 22,3    ; 3 502    ; 26,3    ; 154,8    ;  794    ; 1 100    ; 1 113    ; 8 164    ; 1 540    ; 7 335    ; 2 122    ;  829    ; 45 146;55,1; 4 369;5,3;  331;2,2;  676;4,7; 12 547;10,2; 3 731;21,0; 6 472; 56 427; 30 910; 21 339; 55 981;  449; 18 928;33,8;83,5;38,1; 8 688;15,5; 2 444;28,1;.;.;.;  56;  21; 7 867;55,7;41,1;  225;  82;  83;24; 47 136;  384
Harburg; 155 548    ; 26 494    ; 17,0    ; 30 154    ; 19,4    ; 26 647    ; 17,1    ; 60 944    ; 39,2    ; 15 148    ; 57,4    ; 80 881    ; 1,9    ; 38 968    ; 48,2    ; 16 011    ; 19,8    ; 4 372    ; 27,3    ; 125,2    ; 1 242    ; 1 574    ; 1 549    ; 12 582    ; 2 163    ; 11 851    ; 2 999    ;  731    ; 54 171;52,3; 7 201;7,0;  568;2,9; 1 045;6,2; 19 146;12,3; 5 990;27,4; 9 731; 70 360; 28 485; 25 451; 73 752;  446; 21 439;29,1;77,1;36,5; 7 798;10,6; 1 629;20,9;.;.;.;  76;  22; 8 993;58,4;34,4;  290;  96;  126;36; 52 348;  337
Hamburg;1 788 994    ; 280 364    ; 15,7    ; 335 185    ; 18,7    ; 256 465    ; 14,3    ; 548 279    ; 30,8    ; 130 514    ; 46,7    ;1 000 067    ; 1,8    ; 543 396    ; 54,3    ; 174 309    ; 17,4    ; 47 486    ; 27,2    ; 755,3    ; 2 369    ; 18 137    ; 17 258    ; 96 782    ; 17 766    ; 84 823    ; 24 991    ; 11 959    ; 656 459;53,8; 71 125;5,8; 5 166;2,7; 10 556;5,4; 178 824;10,0; 50 102;21,4; 99 059; 915 670; 35 567; 244 763; 917 234; 6 001; 184 509;20,1;75,7;38,8; 86 680;9,5; 26 775;30,9;  515; 3 025; 3 212; 1 034;  245; 92 983;51,0;44,4; 4 593; 1 311; 1 669;432; 609 526;  341
